Resemblance : 
199707237189.json,0.0213815789474,../datasets/JSON/199707237189.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 3, 'windy': True, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19970723', 'military_area': 0, 'population': 15}
199007156463.json,0.0213815789474,../datasets/JSON/199007156463.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'El Paso', 'dist_to_military_base': 1, 'windy': True, 'state': 'CO', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19900715', 'military_area': 7175, 'population': 3}
199008126222.json,0.0213815789474,../datasets/JSON/199008126222.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Lincoln', 'dist_to_military_base': 0, 'windy': False, 'state': 'NE', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19900812', 'military_area': 919, 'population': 0}
199905207359.json,0.0213815789474,../datasets/JSON/199905207359.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Bay', 'dist_to_military_base': 0, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'closed', 'sighted_at': '19990520', 'military_area': 6905, 'population': 1}
199202146927.json,0.0213815789474,../datasets/JSON/199202146927.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Pottawatomie', 'dist_to_military_base': 4, 'windy': False, 'state': 'OK', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19920214', 'military_area': 1605, 'population': 0}
199408282854.json,0.0213815789474,../datasets/JSON/199408282854.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Alpine', 'dist_to_military_base': 0, 'windy': False, 'state': 'CA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19940828', 'military_area': 156, 'population': 0}
199008106278.json,0.0213815789474,../datasets/JSON/199008106278.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Dixie', 'dist_to_military_base': 18, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19900810', 'military_area': 20782, 'population': 0}
199005016272.json,0.0213815789474,../datasets/JSON/199005016272.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Mercer', 'dist_to_military_base': 0, 'windy': False, 'state': 'PA', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19900501', 'military_area': 83, 'population': 1}
199306156891.json,0.0213815789474,../datasets/JSON/199306156891.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'St Clair', 'dist_to_military_base': 16, 'windy': True, 'state': 'MI', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19930615', 'military_area': 38578, 'population': 1}
199611127148.json,0.0213815789474,../datasets/JSON/199611127148.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Valley', 'dist_to_military_base': 16, 'windy': False, 'state': 'ID', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19961112', 'military_area': 9056, 'population': 0}
199910157245.json,0.0213815789474,../datasets/JSON/199910157245.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Erie', 'dist_to_military_base': 3, 'windy': False, 'state': 'NY', 'military_component': 'AF Reserve', 'airport_type': 'heliport', 'sighted_at': '19991015', 'military_area': 9473, 'population': 9}
199309156606.json,0.0213815789474,../datasets/JSON/199309156606.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Aroostook', 'dist_to_military_base': 26, 'windy': False, 'state': 'ME', 'military_component': 'Navy Active', 'airport_type': 'closed', 'sighted_at': '19930915', 'military_area': 201400, 'population': 0}
199703027220.json,0.0213815789474,../datasets/JSON/199703027220.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Orange', 'dist_to_military_base': 3, 'windy': False, 'state': 'CA', 'military_component': 'AF Reserve', 'airport_type': 'small_airport', 'sighted_at': '19970302', 'military_area': 24805, 'population': 27}
199211247106.json,0.0213815789474,../datasets/JSON/199211247106.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Suffolk', 'dist_to_military_base': 2, 'windy': False, 'state': 'NY', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19921124', 'military_area': 1230, 'population': 13}
1995050999.json,0.0213815789474,../datasets/JSON/1995050999.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Pembina', 'dist_to_military_base': 16, 'windy': False, 'state': 'ND', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19950509', 'military_area': 4940, 'population': 0}
199807137260.json,0.0213815789474,../datasets/JSON/199807137260.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Dakota', 'dist_to_military_base': 2, 'windy': True, 'state': 'NE', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19980713', 'military_area': 3811, 'population': 0}
1995111815.json,0.0213815789474,../datasets/JSON/1995111815.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Seminole', 'dist_to_military_base': 2, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19951118', 'military_area': 435, 'population': 3}
199104157623.json,0.0213815789474,../datasets/JSON/199104157623.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'El Dorado', 'dist_to_military_base': 5, 'windy': False, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19910415', 'military_area': 82128, 'population': 1}
199209257015.json,0.0213815789474,../datasets/JSON/199209257015.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Orange', 'dist_to_military_base': 1, 'windy': False, 'state': 'CA', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19920925', 'military_area': 2873, 'population': 24}
199002256334.json,0.0213815789474,../datasets/JSON/199002256334.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Hays', 'dist_to_military_base': 2, 'windy': False, 'state': 'TX', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19900225', 'military_area': 2405, 'population': 0}
199312286776.json,0.0213815789474,../datasets/JSON/199312286776.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Lauderdale', 'dist_to_military_base': 2, 'windy': True, 'state': 'MS', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19931228', 'military_area': 92725, 'population': 0}
199605207186.json,0.0213815789474,../datasets/JSON/199605207186.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Buncombe', 'dist_to_military_base': 11, 'windy': False, 'state': 'NC', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19960520', 'military_area': 1343, 'population': 1}
199105317377.json,0.0213815789474,../datasets/JSON/199105317377.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Marshall', 'dist_to_military_base': 14, 'windy': True, 'state': 'MN', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19910531', 'military_area': 881, 'population': 0}
199811047253.json,0.0213815789474,../datasets/JSON/199811047253.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Sandoval', 'dist_to_military_base': 1, 'windy': True, 'state': 'NM', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19981104', 'military_area': 558297, 'population': 0}
199012126473.json,0.0213815789474,../datasets/JSON/199012126473.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Niagara', 'dist_to_military_base': 9, 'windy': False, 'state': 'NY', 'military_component': 'Army Guard', 'airport_type': 'medium_airport', 'sighted_at': '19901212', 'military_area': 13075, 'population': 2}
199510101.json,0.0213815789474,../datasets/JSON/199510101.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Milwaukee', 'dist_to_military_base': 1, 'windy': False, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19951010', 'military_area': 993, 'population': 9}
199705157191.json,0.0213815789474,../datasets/JSON/199705157191.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Orange', 'dist_to_military_base': 4, 'windy': True, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19970515', 'military_area': 60560, 'population': 8}
199801277140.json,0.0213815789474,../datasets/JSON/199801277140.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Schuyler', 'dist_to_military_base': 10, 'windy': False, 'state': 'IL', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19980127', 'military_area': 1294, 'population': 0}
199306136690.json,0.0213815789474,../datasets/JSON/199306136690.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Minnehaha', 'dist_to_military_base': 0, 'windy': False, 'state': 'SD', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19930613', 'military_area': 881, 'population': 1}
1995111197.json,0.0213815789474,../datasets/JSON/1995111197.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Douglas', 'dist_to_military_base': 7, 'windy': False, 'state': 'WA', 'military_component': 'Army Active', 'airport_type': 'medium_airport', 'sighted_at': '19951111', 'military_area': 5635818, 'population': 0}
199704177164.json,0.0213815789474,../datasets/JSON/199704177164.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Hot Spring', 'dist_to_military_base': 11, 'windy': True, 'state': 'AR', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19970417', 'military_area': 154829, 'population': 0}
199006156315.json,0.0213815789474,../datasets/JSON/199006156315.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Chautauqua', 'dist_to_military_base': 13, 'windy': False, 'state': 'NY', 'military_component': 'Army Guard', 'airport_type': 'seaplane_base', 'sighted_at': '19900615', 'military_area': 13075, 'population': 1}
199308096768.json,0.0213815789474,../datasets/JSON/199308096768.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Rock', 'dist_to_military_base': 9, 'windy': True, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19930809', 'military_area': 2680, 'population': 1}
1995020245.json,0.0213815789474,../datasets/JSON/1995020245.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Brown', 'dist_to_military_base': 19, 'windy': False, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19950202', 'military_area': 993, 'population': 2}
1995102238.json,0.0213815789474,../datasets/JSON/1995102238.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Clay', 'dist_to_military_base': 3, 'windy': False, 'state': 'AL', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19951022', 'military_area': 2940, 'population': 0}
199805037232.json,0.0213815789474,../datasets/JSON/199805037232.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Clark', 'dist_to_military_base': 0, 'windy': True, 'state': 'NV', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19980503', 'military_area': 201, 'population': 12}
199801017262.json,0.0213815789474,../datasets/JSON/199801017262.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'East Baton Rouge', 'dist_to_military_base': 1, 'windy': False, 'state': 'LA', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19980101', 'military_area': 554, 'population': 4}
199906157390.json,0.0213815789474,../datasets/JSON/199906157390.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Calhoun', 'dist_to_military_base': 7, 'windy': False, 'state': 'IL', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19990615', 'military_area': 413, 'population': 0}
199807157255.json,0.0213815789474,../datasets/JSON/199807157255.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Hennepin', 'dist_to_military_base': 1, 'windy': True, 'state': 'MN', 'military_component': 'AF Reserve', 'airport_type': 'heliport', 'sighted_at': '19980715', 'military_area': 2076, 'population': 10}
199206206900.json,0.0213815789474,../datasets/JSON/199206206900.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Kings', 'dist_to_military_base': 0, 'windy': False, 'state': 'CA', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19920620', 'military_area': 1046, 'population': 1}
19940512409.json,0.0213815789474,../datasets/JSON/19940512409.json,{'rainy': True, 'dist_to_airport': 2, 'snowy': False, 'dusty': False, 'countyName': 'Crook', 'dist_to_military_base': 9, 'windy': False, 'state': 'OR', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19940512', 'military_area': 450566, 'population': 0}
199807157173.json,0.0213815789474,../datasets/JSON/199807157173.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Franklin', 'dist_to_military_base': 1, 'windy': False, 'state': 'OH', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19980715', 'military_area': 6864, 'population': 10}
199901117263.json,0.0213815789474,../datasets/JSON/199901117263.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Linn', 'dist_to_military_base': 4, 'windy': False, 'state': 'OR', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19990111', 'military_area': 8457, 'population': 1}
199908157322.json,0.0213815789474,../datasets/JSON/199908157322.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Martin', 'dist_to_military_base': 1, 'windy': False, 'state': 'FL', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19990815', 'military_area': 114, 'population': 1}
199206156971.json,0.0213815789474,../datasets/JSON/199206156971.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Lincoln', 'dist_to_military_base': 3, 'windy': False, 'state': 'NC', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19920615', 'military_area': 1270, 'population': 0}
199110016804.json,0.0213815789474,../datasets/JSON/199110016804.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Bergen', 'dist_to_military_base': 3, 'windy': False, 'state': 'NJ', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19911001', 'military_area': 2265, 'population': 8}
199006266485.json,0.0213815789474,../datasets/JSON/199006266485.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Sussex', 'dist_to_military_base': 2, 'windy': False, 'state': 'NJ', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19900626', 'military_area': 93402, 'population': 1}
199808077235.json,0.0213815789474,../datasets/JSON/199808077235.json,{'rainy': False, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Pinal', 'dist_to_military_base': 4, 'windy': True, 'state': 'AZ', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19980807', 'military_area': 3848, 'population': 1}
199709157172.json,0.0213815789474,../datasets/JSON/199709157172.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Steuben', 'dist_to_military_base': 10, 'windy': True, 'state': 'IN', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19970915', 'military_area': 111071, 'population': 0}
199606177183.json,0.0213815789474,../datasets/JSON/199606177183.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Will', 'dist_to_military_base': 8, 'windy': False, 'state': 'IL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19960617', 'military_area': 476, 'population': 4}
1995022257.json,0.0213815789474,../datasets/JSON/1995022257.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'St Louis City', 'dist_to_military_base': 0, 'windy': False, 'state': 'MO', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19950222', 'military_area': 413, 'population': 3}
199703137230.json,0.0213815789474,../datasets/JSON/199703137230.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Maricopa', 'dist_to_military_base': 0, 'windy': False, 'state': 'AZ', 'military_component': 'AF Active', 'airport_type': 'large_airport', 'sighted_at': '19970313', 'military_area': 34393, 'population': 27}
199510090.json,0.0213815789474,../datasets/JSON/199510090.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Johnson', 'dist_to_military_base': 10, 'windy': False, 'state': 'IA', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19951009', 'military_area': 12981, 'population': 1}
199704017229.json,0.0213815789474,../datasets/JSON/199704017229.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Los Alamos', 'dist_to_military_base': 2, 'windy': False, 'state': 'NM', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19970401', 'military_area': 4063, 'population': 0}
199908057343.json,0.0213815789474,../datasets/JSON/199908057343.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Spokane', 'dist_to_military_base': 1, 'windy': True, 'state': 'WA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19990805', 'military_area': 75351, 'population': 4}
199610067044.json,0.0213815789474,../datasets/JSON/199610067044.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Aroostook', 'dist_to_military_base': 26, 'windy': False, 'state': 'ME', 'military_component': 'Navy Active', 'airport_type': 'closed', 'sighted_at': '19961006', 'military_area': 201400, 'population': 0}
199909017409.json,0.0213815789474,../datasets/JSON/199909017409.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Perry', 'dist_to_military_base': 4, 'windy': False, 'state': 'OH', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19990901', 'military_area': 6134, 'population': 0}
199204017078.json,0.0213815789474,../datasets/JSON/199204017078.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'San Bernardino', 'dist_to_military_base': 5, 'windy': False, 'state': 'CA', 'military_component': 'Army Active', 'airport_type': 'medium_airport', 'sighted_at': '19920401', 'military_area': 9211434, 'population': 15}
199607017029.json,0.0213815789474,../datasets/JSON/199607017029.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Warren', 'dist_to_military_base': 8, 'windy': False, 'state': 'NY', 'military_component': 'Navy Active', 'airport_type': 'seaplane_base', 'sighted_at': '19960701', 'military_area': 341, 'population': 0}
199007036368.json,0.0213815789474,../datasets/JSON/199007036368.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 1, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19900703', 'military_area': 0, 'population': 12}
199111157536.json,0.0213815789474,../datasets/JSON/199111157536.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Harris', 'dist_to_military_base': 1, 'windy': False, 'state': 'TX', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19911115', 'military_area': 2291, 'population': 28}
199608026998.json,0.0213815789474,../datasets/JSON/199608026998.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Hancock', 'dist_to_military_base': 1, 'windy': False, 'state': 'IN', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19960802', 'military_area': 1914, 'population': 0}
199905157337.json,0.0213815789474,../datasets/JSON/199905157337.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Ashtabula', 'dist_to_military_base': 7, 'windy': False, 'state': 'OH', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19990515', 'military_area': 1545, 'population': 1}
199610137115.json,0.0213815789474,../datasets/JSON/199610137115.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Los Angeles', 'dist_to_military_base': 3, 'windy': True, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19961013', 'military_area': 679, 'population': 91}
199809107180.json,0.0213815789474,../datasets/JSON/199809107180.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Tom Green', 'dist_to_military_base': 0, 'windy': False, 'state': 'TX', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19980910', 'military_area': 12382, 'population': 1}
1995031422.json,0.0213815789474,../datasets/JSON/1995031422.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Orange', 'dist_to_military_base': 2, 'windy': False, 'state': 'CA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19950314', 'military_area': 2873, 'population': 25}
199207077011.json,0.0213815789474,../datasets/JSON/199207077011.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Warren', 'dist_to_military_base': 9, 'windy': True, 'state': 'KY', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19920707', 'military_area': 143969, 'population': 0}
1995082434.json,0.0213815789474,../datasets/JSON/1995082434.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Calhoun', 'dist_to_military_base': 1, 'windy': False, 'state': 'MI', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19950824', 'military_area': 111071, 'population': 1}
199210236954.json,0.0213815789474,../datasets/JSON/199210236954.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Clay', 'dist_to_military_base': 1, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'seaplane_base', 'sighted_at': '19921023', 'military_area': 41948, 'population': 1}
199012126312.json,0.0213815789474,../datasets/JSON/199012126312.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Dane', 'dist_to_military_base': 0, 'windy': True, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19901212', 'military_area': 2680, 'population': 3}
199407237460.json,0.0213815789474,../datasets/JSON/199407237460.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Chemung', 'dist_to_military_base': 16, 'windy': False, 'state': 'NY', 'military_component': 'MC Reserve', 'airport_type': 'heliport', 'sighted_at': '19940723', 'military_area': 4016, 'population': 0}
